file,line,col,usage_type,value_or_op,risk_level,module
qtrader/research/metrics.py,29,63,literal,0.5,LOW,research
qtrader/research/metrics.py,30,11,cast,float(),LOW,research
qtrader/research/metrics.py,64,72,literal,0.5,LOW,research
qtrader/research/metrics.py,65,11,cast,float(),LOW,research
qtrader/research/metrics.py,81,19,bin_op,+,LOW,research
qtrader/research/metrics.py,89,15,cast,float(),LOW,research
qtrader/research/metrics.py,106,19,bin_op,+,LOW,research
qtrader/research/metrics.py,107,19,cast,float(),LOW,research
qtrader/research/metrics.py,107,25,bin_op,-,LOW,research
qtrader/research/metrics.py,113,24,bin_op,-,LOW,research
qtrader/research/metrics.py,113,25,bin_op,+,LOW,research
qtrader/research/metrics.py,124,11,cast,float(),LOW,research
qtrader/research/walkforward.py,47,12,accumulation,+=,LOW,research
qtrader/research/session.py,146,53,literal,10000.0,LOW,research
qtrader/research/session.py,151,23,bin_op,*,LOW,research
qtrader/research/session.py,151,23,cast,float(),LOW,research
qtrader/research/session.py,151,45,literal,0.9999,LOW,research
qtrader/research/session.py,152,23,bin_op,*,LOW,research
qtrader/research/session.py,152,23,cast,float(),LOW,research
qtrader/research/session.py,152,45,literal,1.0001,LOW,research
qtrader/research/session.py,153,29,literal,5.0,LOW,research
qtrader/research/session.py,227,51,bin_op,+,LOW,research
qtrader/research/session.py,227,72,literal,1e-10,LOW,research
qtrader/research/session.py,257,23,cast,float(),LOW,research
qtrader/research/session.py,257,54,cast,float(),LOW,research
qtrader/research/session.py,259,26,cast,float(),LOW,research
qtrader/research/session.py,259,46,bin_op,*,LOW,research
qtrader/research/session.py,259,46,literal,1.5,LOW,research
qtrader/research/session.py,259,72,bin_op,*,LOW,research
qtrader/research/session.py,259,72,literal,1.5,LOW,research
qtrader/research/session.py,260,20,cast,float(),LOW,research
qtrader/research/session.py,261,19,cast,float(),LOW,research
qtrader/research/session.py,262,20,cast,float(),LOW,research
qtrader/research/session.py,262,57,bin_op,+,LOW,research
qtrader/research/session.py,262,69,literal,1e-10,LOW,research
qtrader/research/session.py,263,20,bin_op,-,LOW,research
qtrader/research/session.py,263,20,cast,float(),LOW,research
qtrader/research/session.py,263,57,bin_op,+,LOW,research
